Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Total votantes;Votos en blanco;Votos nulos;PP;PSOE;C's;PODEMOS;EN COMÚ;IU-UPeC;PODEMOS-COM;ERC-CATSI;DL;PODEMOS-En;EAJ-PNV;PACMA;EH Bildu;UPYD;CCa-PNC;NÓS;unio.cat;VOX;RECORTES CE;MÉS;PCPE;GBAI;EL PI;CCD;EB;FE de las J;X LA IZQUIE;SOMVAL;PUM+J;SAIn;CENTRO MODE;PT;CANARIAS DE;P-LIB;PH;ARAPV;EU-eX;PCOE;DN;IFem;PREPAL;EN POSITIU;CILUS;CRA;Ln;AVANT;mlgXSÍ;PFyV;AJU;Independien;FDEE;SOLUCIONA;JS,PC;+MAS+;PLD;OE         
Castilla y León;05;Ávila;167015;103251;744;1234;47072;20254;15971;11951;0;3905;0;0;0;0;0;519;0;908;0;0;0;330;125;0;0;0;0;0;0;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña;25;Lleida;438001;200496;2124;1827;22360;24668;17897;0;30538;0;0;44317;48289;0;0;1743;0;687;0;0;4867;465;398;0;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña;08;Barcelona;5523784;2873383;18119;14976;321980;464588;387061;0;768235;0;0;414163;378723;0;0;34394;0;6595;0;0;48326;0;10730;0;5493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña;43;Tarragona;800962;376484;2684;3324;45619;58922;53152;0;77036;0;0;65272;57071;0;0;4170;0;686;0;0;6324;0;894;0;705;0;0;0;625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña;17;Girona;756156;335561;2513;2938;28410;42096;32762;0;54071;0;0;78030;83170;0;0;3623;0;586;0;0;5871;0;889;0;602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Extremadura;10;Cáceres;409542;252419;1559;3427;87924;84758;28406;34730;0;7252;0;0;0;0;0;1363;0;1074;0;0;0;518;338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Extremadura;06;Badajoz;690929;404576;3117;5224;137640;148493;45350;47368;0;12338;0;0;0;0;0;2041;0;1546;0;0;0;0;508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia;32;Ourense;322293;195475;1749;2542;86673;44726;15174;0;0;0;0;0;0;34357;0;1406;0;777;0;6455;0;0;399;0;0;0;0;0;0;0;873;0;0;0;0;344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia;27;Lugo;342748;207084;2445;3732;86446;48772;15441;0;0;0;0;0;0;39122;0;1633;0;971;0;7253;0;0;443;0;421;0;0;0;0;0;0;0;0;0;0;405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia;15;A Coruña;1132735;682745;7674;8562;239303;137734;66784;0;0;0;0;0;0;177581;0;5169;0;3531;0;30618;0;1246;1548;0;1447;0;0;0;0;0;0;0;0;429;0;1119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia;36;Pontevedra;950919;579647;5481;7883;197201;118988;51453;0;0;0;0;0;0;159638;0;5315;0;3177;0;26537;0;0;1439;0;1377;0;0;0;0;0;0;0;0;0;0;1158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunidad de Madrid;28;Madrid;6454440;3642127;18751;23209;1210219;645645;681167;756257;0;190193;0;0;0;0;0;28322;0;43508;0;0;0;22643;4037;0;1742;0;0;0;0;4579;4994;0;2870;1137;0;0;0;1075;1779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
