Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Total votantes;Votos en blanco;Votos nulos;PSOE;AP-PDP;UCD;PCE;CIU;CDS;EAJ-PNV;HB;ERC;FN;PST;EE;PSA-PA;PCC;B-PSG;UPC;NE;SE;EU;PCOE;CC;UCE;PCE (M-L);EG;AC-CC;UPV;CUC;EUPV;MFE;AEBA;PSM;PSA;ENV-URV;PS;AEGI;LC (COSI);CE-FCC;FIC;PNC;PREPAL;CoCa;FE-JONS;PADL;IDG;PRE;FE-I;PNCti;ACI;MCATE;LCR-MC;PDB;ASDC;IR;FA;PC;PAE;PP;CIR;PCU;EM;BIA
Aragón;50;Zaragoza;826766;513450;3276;15448;255402;156800;34044;16492;0;19918;0;0;0;2654;2952;0;0;0;0;0;0;667;0;0;0;497;469;0;0;0;665;0;0;0;0;4119;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Principado de Asturias;33;Asturias;1129556;662710;2799;11332;339575;181965;31763;53017;0;28048;0;0;0;2056;3570;0;0;0;0;0;0;897;0;1713;0;712;567;0;0;0;1223;0;0;0;0;0;0;0;0;448;0;0;0;0;0;0;2493;0;0;0;0;0;0;0;0;0;0;532;0;0;0;0;0;0;0
Illes Balears;7;Illes Balears;655909;372330;2148;15791;144232;134444;37148;5962;0;18722;0;0;0;879;1716;0;0;0;0;0;0;509;0;1178;0;518;450;0;0;0;0;0;0;0;8633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias;35;Las Palmas;705604;346873;1748;11574;109366;97701;45905;0;0;19705;0;0;0;758;1746;0;0;0;0;16241;0;574;0;0;25792;602;625;0;12625;0;0;0;0;0;0;0;0;0;0;417;0;0;1051;0;0;0;0;0;0;0;0;0;0;443;0;0;0;0;0;0;0;0;0;0;0
Canarias;38;Santa Cruz de Tenerife;658827;326334;1446;7901;130249;78174;61436;0;0;12587;0;0;0;1315;3469;0;0;0;0;18772;0;0;0;0;0;85;799;0;6132;0;0;0;0;0;0;0;0;0;0;632;0;0;2206;0;0;0;0;0;0;0;0;0;0;0;0;1131;0;0;0;0;0;0;0;0;0
Cantabria;39;Cantabria;513009;311415;1768;9250;135987;117567;16265;9265;0;15281;0;0;0;1716;1760;0;0;0;0;0;0;642;0;0;0;421;0;0;0;0;404;0;827;0;0;0;0;0;0;262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;2;Albacete;339373;196992;861;4110;103328;55666;16755;8874;0;3846;0;0;0;1388;855;0;0;0;0;0;0;457;0;0;0;129;149;0;0;0;193;0;141;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;13;Ciudad Real;475226;285326;1062;5152;151168;79037;29443;7627;0;5543;0;0;0;3222;1182;0;0;0;0;0;0;236;0;402;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0;0;0;0;809;0;0;0;0;0;0;0;154;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;16;Cuenca;212363;135175;717;2397;59676;42274;20119;4257;0;2399;0;0;0;2868;0;0;0;0;0;0;0;325;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;19;Guadalajara;143290;91174;693;1564;34212;33748;12049;3392;0;2919;0;0;0;805;971;0;0;0;0;0;0;136;0;0;0;99;56;0;0;0;0;0;66;0;0;0;0;0;0;99;0;0;0;0;0;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha;45;Toledo;473948;300337;997;7035;138169;98244;28433;12849;0;5331;0;0;0;6488;1059;0;0;0;0;0;0;283;0;559;0;197;204;0;0;0;157;0;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;5;Ávila;183188;114016;557;2384;34142;37193;11218;1947;0;25000;0;0;0;414;581;0;0;0;0;0;0;0;0;0;0;127;300;0;0;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;9;Burgos;360693;216779;1667;4965;79626;90969;20609;3737;0;10404;0;0;0;919;1724;0;0;0;0;0;0;630;0;0;0;660;366;0;0;0;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0
Castilla y León;24;León;520641;306217;1899;8484;133206;94506;46170;5856;0;8052;0;0;0;1106;1276;0;0;0;0;0;0;0;0;0;0;565;445;0;0;0;616;0;295;0;0;0;0;0;0;313;0;0;0;1912;0;0;0;0;0;0;0;0;0;62;1454;0;0;0;0;0;0;0;0;0;0
